repo_id_left,repo_name_left,repo_id_right,repo_name_right,cooccurrence_count
107111421,thedaviddias/Front-End-Checklist,112507086,Chalarangelo/30-seconds-of-code,50
126577260,trekhleb/javascript-algorithms,135786093,typescript-cheatsheets/react,50
589831718,Comfy-Org/ComfyUI,599320067,langflow-ai/langflow,50
621803253,FlowiseAI/Flowise,626805178,langgenius/dify,50
5625464,pyenv/pyenv,10270250,react/react,49
5625464,pyenv/pyenv,11730342,vuejs/vue,49
10744183,netdata/netdata,12888993,home-assistant/core,49
11730342,vuejs/vue,54173593,storybookjs/storybook,49
22670857,enaqx/awesome-react,62367558,vercel/hyper,49
22670857,enaqx/awesome-react,63537249,react/create-react-app,49
35866694,RocketChat/Rocket.Chat,62367558,vercel/hyper,49
61893399,brillout/awesome-react-components,112507086,Chalarangelo/30-seconds-of-code,49
88011908,practical-tutorials/project-based-learning,112507086,Chalarangelo/30-seconds-of-code,49
103633984,goldbergyoni/nodebestpractices,107111421,thedaviddias/Front-End-Checklist,49
109343098,serhii-londar/open-source-mac-os-apps,126577260,trekhleb/javascript-algorithms,49
109343098,serhii-londar/open-source-mac-os-apps,133442384,denoland/deno,49
155220641,huggingface/transformers,156157055,GokuMohandas/Made-With-ML,49
560704231,run-llama/llama_index,599547518,vllm-project/vllm,49
3214406,meteor/meteor,11730342,vuejs/vue,48
5625464,pyenv/pyenv,9384267,electron/electron,48
7569578,discourse/discourse,12256376,ionic-team/ionic-framework,48
10270250,react/react,26066727,mermaid-js/mermaid,48
15062869,jestjs/jest,70107786,vercel/next.js,48
15062869,jestjs/jest,75104123,prettier/prettier,48
19745004,odoo/odoo,23083156,mui/material-ui,48
26066727,mermaid-js/mermaid,61893399,brillout/awesome-react-components,48
110058856,LeCoupa/awesome-cheatsheets,133442384,denoland/deno,48
527591471,AUTOMATIC1111/stable-diffusion-webui,574523116,f/prompts.chat,48
560704231,run-llama/llama_index,614765452,Significant-Gravitas/AutoGPT,48
2126244,twbs/bootstrap,4164482,django/django,47
12256376,ionic-team/ionic-framework,20929025,microsoft/TypeScript,47
12256376,ionic-team/ionic-framework,27193779,nodejs/node,47
20929025,microsoft/TypeScript,35866694,RocketChat/Rocket.Chat,47
22670857,enaqx/awesome-react,61893399,brillout/awesome-react-components,47
23083156,mui/material-ui,33614304,nvbn/thefuck,47
