candidate_id,family,mode,model_kind,feature_set,parameters,fold,rmsle,mae,rmse,smape,forecast_bias
42,blend_direct_extra_trees,blend_direct,extra_trees,full,"{""blend_weight"": 0.2, ""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",3,0.4257450835290858,25.052257099749962,34.27378157313599,0.3003228890966676,-11.009375839798293
43,blend_direct_extra_trees,blend_direct,extra_trees,full,"{""blend_weight"": 0.4, ""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",1,0.6773938133798789,47.443914787692535,77.0855969416416,0.4404437976042248,-25.130744868971714
43,blend_direct_extra_trees,blend_direct,extra_trees,full,"{""blend_weight"": 0.4, ""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",2,0.45498065903544604,37.15947358309541,53.43524375066586,0.37045959009990936,-23.864808055845106
43,blend_direct_extra_trees,blend_direct,extra_trees,full,"{""blend_weight"": 0.4, ""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",3,0.408866173142172,26.381592106592446,35.92995092312407,0.31363839806297705,-14.306630467475378
44,blend_direct_extra_trees,blend_direct,extra_trees,full,"{""blend_weight"": 0.6, ""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",1,0.6461284150606703,45.10550661720116,73.63366495742002,0.4408750191362133,-28.84005669739696
44,blend_direct_extra_trees,blend_direct,extra_trees,full,"{""blend_weight"": 0.6, ""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",2,0.4591779309183667,38.95313694582279,54.93438585585702,0.38701559154664905,-26.30478784134341
44,blend_direct_extra_trees,blend_direct,extra_trees,full,"{""blend_weight"": 0.6, ""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",3,0.4167740739063084,29.5267410267074,39.30487840727737,0.33773857865338963,-17.603885095152464
45,blend_direct_extra_trees,blend_direct,extra_trees,full,"{""blend_weight"": 0.8, ""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",1,0.6290442322521292,45.49548721262283,71.85568311418275,0.45651245884720454,-32.54936852582221
45,blend_direct_extra_trees,blend_direct,extra_trees,full,"{""blend_weight"": 0.8, ""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",2,0.4804395730433987,41.094081584329366,57.25694912688285,0.4090379632721995,-28.744767626841725
45,blend_direct_extra_trees,blend_direct,extra_trees,full,"{""blend_weight"": 0.8, ""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",3,0.44417485427468434,32.717472884094704,44.004867720984016,0.3624574420660251,-20.901139722829544
46,direct_extra_trees,direct,extra_trees,full,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 10}",1,0.643599059771831,45.197203105421345,70.79261791542886,0.46749597461242504,-35.159221869437374
46,direct_extra_trees,direct,extra_trees,full,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 10}",2,0.496288415276085,41.16783898727626,59.05382485098662,0.4027621077369512,-29.756099924594093
46,direct_extra_trees,direct,extra_trees,full,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 10}",3,0.47476814618034974,35.06982039171475,48.05532282601272,0.386186163407093,-22.356758372353443
47,additive_residual_extra_trees,additive_residual,extra_trees,full,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 10}",1,0.6572474283746726,50.848333917714015,75.76521976148905,0.5007842736663751,-31.862391680809207
