model,parameters_json,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,mean_test_pr_auc,std_test_pr_auc,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_mcc,mean_test_cohen_kappa,mean_test_neg_log_loss,mean_fit_time,std_fit_time,param_model__strategy,param_model__C,param_model__penalty,param_model__kernel,param_model__gamma,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__max_features,param_model__n_estimators,param_model__n_neighbors,param_model__p,param_model__weights,param_model__learning_rate,param_model__subsample,param_model__colsample_bytree,param_model__reg_lambda
random_forest,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}",23,0.9878787878787879,0.024242424242424267,0.9933333333333334,0.01333333333333324,0.9913043478260869,0.9916666666666666,1.0,0.9833333333333332,0.9913043478260869,0.9833333333333332,0.9826415094339623,-0.11213889939075465,0.1371157169342041,0.02050618991278417,,,,,,,3,3.0,sqrt,200.0,,,,,,,
random_forest,"{""model__max_depth"": 3, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",18,0.990909090909091,0.018181818181818167,0.9944444444444445,0.011111111111111027,0.9913043478260869,0.9916666666666666,1.0,0.9833333333333332,0.9913043478260869,0.9833333333333332,0.9826415094339623,-0.11305372578545858,0.3413475513458252,0.036980661260977515,,,,,,,3,3.0,sqrt,500.0,,,,,,,
random_forest,"{""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",1,1.0,0.0,1.0,0.0,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.04890320141447359,0.1268627166748047,0.012199001462804466,,,,,,,3,1.0,0.7,200.0,,,,,,,
random_forest,"{""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}",1,1.0,0.0,1.0,0.0,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.0544287950936182,0.33663077354431153,0.013184806988801381,,,,,,,3,1.0,0.7,500.0,,,,,,,
random_forest,"{""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}",1,1.0,4.965068306494546e-17,1.0,0.0,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.04926036928613409,0.14399828910827636,0.011924960451876618,,,,,,,3,3.0,0.7,200.0,,,,,,,
random_forest,"{""model__max_depth"": 3, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",1,1.0,0.0,1.0,0.0,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.054384403814524064,0.3785435199737549,0.022428839861940587,,,,,,,3,3.0,0.7,500.0,,,,,,,
random_forest,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",18,0.990909090909091,0.018181818181818167,0.9944444444444445,0.011111111111111027,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.07170076627940827,0.14437427520751953,0.00646206718718511,,,,,,,5,1.0,sqrt,200.0,,,,,,,
random_forest,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}",20,0.9893939393939395,0.021212121212121238,0.993859649122807,0.012280701754385915,0.9913043478260869,0.9916666666666666,1.0,0.9833333333333332,0.9913043478260869,0.9833333333333332,0.9826415094339623,-0.07290575062904706,0.394882869720459,0.03421445467001892,,,,,,,5,1.0,sqrt,500.0,,,,,,,
random_forest,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}",13,0.9939393939393939,0.01212121212121211,0.9958333333333333,0.008333333333333259,0.9913043478260869,0.9916666666666666,1.0,0.9833333333333332,0.9913043478260869,0.9833333333333332,0.9826415094339623,-0.08350901414464384,0.17460641860961915,0.022877321848220614,,,,,,,5,3.0,sqrt,200.0,,,,,,,
random_forest,"{""model__max_depth"": 5, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",16,0.9924242424242424,0.015151515151515181,0.9950980392156863,0.009803921568627371,0.9913043478260869,0.9916666666666666,1.0,0.9833333333333332,0.9913043478260869,0.9833333333333332,0.9826415094339623,-0.08568371183356836,0.5208132266998291,0.03558405381933121,,,,,,,5,3.0,sqrt,500.0,,,,,,,
random_forest,"{""model__max_depth"": 5, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",1,1.0,0.0,1.0,0.0,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.04890320141447359,0.20013937950134278,0.02290490117274318,,,,,,,5,1.0,0.7,200.0,,,,,,,
random_forest,"{""model__max_depth"": 5, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}",1,1.0,0.0,1.0,0.0,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.0544287950936182,0.42409725189208985,0.007537686490486489,,,,,,,5,1.0,0.7,500.0,,,,,,,
random_forest,"{""model__max_depth"": 5, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 200}",1,1.0,4.965068306494546e-17,1.0,0.0,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.04926036928613409,0.1526780128479004,0.016118936415976934,,,,,,,5,3.0,0.7,200.0,,,,,,,
random_forest,"{""model__max_depth"": 5, ""model__max_features"": 0.7, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 500}",1,1.0,0.0,1.0,0.0,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.054384403814524064,0.43236579895019533,0.042640673784315054,,,,,,,5,3.0,0.7,500.0,,,,,,,
random_forest,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}",13,0.9939393939393939,0.01212121212121211,0.9950980392156863,0.009803921568627449,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.06858189706110951,0.16035056114196777,0.01490683443714783,,,,,,,,1.0,sqrt,200.0,,,,,,,
random_forest,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}",22,0.9886363636363636,0.022727272727272704,0.9933333333333334,0.01333333333333333,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.07049561837849,0.37109975814819335,0.029068721051798974,,,,,,,,1.0,sqrt,500.0,,,,,,,
