repo_id,repo_full_name,early_4week_stars,early_avg_weekly_stars,early_max_weekly_stars,later_stars,later_avg_weekly_stars,became_high_growth,language,topics,stars_count,forks_count,watchers_count,open_issues_count,created_at,updated_at,pushed_at,archived,is_fork,license,html_url,topic_count,has_ai_topic,has_ml_topic,has_deep_learning_topic,has_data_science_topic,has_web_topic,has_llm_topic,early_to_total_star_ratio,early_peak_to_average_ratio,forks_per_star,issues_per_star
172562475,florinpop17/app-ideas,309,77.25,190,1191.0,397.0,1,Unknown,applications|coding|codingchallenges|css|hacktoberfest|html|ideas|javascript|practice,94948,10485,94948,608,2019-02-25T18:36:56Z,2026-06-13T20:47:43Z,2025-10-11T14:51:21Z,0,0,MIT,https://github.com/florinpop17/app-ideas,1,0,1,0,0,1,0,0.0032543786664419845,2.428115015974441,0.11042770329334696,0.006403437634940863
192925833,prisma/prisma,73,18.25,42,1427.0,50.964285714285715,1,TypeScript,cockroachdb|database|javascript|mariadb|mongo|mongodb|mongodb-orm|mssql|mysql|nodejs|orm|postgres|postgresql|prisma|prisma-client|query-builder|sql-server|sqlite|sqlserver|typescript,46265,2242,46265,2620,2019-06-20T13:33:47Z,2026-06-13T18:40:57Z,2026-06-12T08:32:43Z,0,0,Apache-2.0,https://github.com/prisma/prisma,1,0,0,0,0,1,0,0.0015778325336099944,2.1818181818181817,0.04845891151169325,0.056629058055591576
202367615,lyswhut/lx-music-desktop,227,56.75,108,1273.0,106.08333333333331,1,TypeScript,electron|javascript|music-player|vue,51545,6857,51545,1206,2019-08-14T14:31:08Z,2026-06-13T18:58:45Z,2026-06-07T03:46:40Z,0,0,Apache-2.0,https://github.com/lyswhut/lx-music-desktop,1,0,0,0,0,1,0,0.004403833469134365,1.87012987012987,0.13302681100376362,0.023396577813991386
204086862,streamlit/streamlit,63,15.75,49,1437.0,718.5,1,Python,data-analysis|data-science|data-visualization|deep-learning|developer-tools|machine-learning|python|streamlit,44963,4279,44963,1322,2019-08-24T00:14:52Z,2026-06-13T18:27:45Z,2026-06-13T14:03:19Z,0,0,Apache-2.0,https://github.com/streamlit/streamlit,1,0,1,1,1,0,0,0.0014011208967173738,2.925373134328358,0.09516502090561338,0.029401298816831244
207645083,TanStack/query,38,9.5,19,1462.0,487.3333333333333,1,TypeScript,async|cache|data|fetch|graphql|hooks|query|react|rest|solid|stale|stale-while-revalidate|svelte|typescript|update|vue,49740,3885,49740,187,2019-09-10T19:23:58Z,2026-06-13T18:30:39Z,2026-06-12T20:20:01Z,0,0,MIT,https://github.com/TanStack/query,1,0,0,0,0,1,0,0.0007639572988078245,1.8095238095238095,0.0781045817333789,0.003759474075712189
208728772,milvus-io/milvus,389,97.25,204,1111.0,555.5,1,Go,anns|cloud-native|diskann|distributed|embedding-database|embedding-similarity|embedding-store|faiss|golang|hnsw|image-search|llm|nearest-neighbor-search|rag|vector-database|vector-search|vector-similarity|vector-store,44762,4065,44762,909,2019-09-16T06:43:43Z,2026-06-13T16:46:44Z,2026-06-13T01:12:21Z,0,0,Apache-2.0,https://github.com/milvus-io/milvus,1,1,0,0,0,0,1,0.008690212899046087,2.0763358778625953,0.09081160780108571,0.020306949936331344
212639071,bregman-arie/devops-exercises,1389,347.25,979,111.0,111.0,0,Python,ansible|aws|azure|coding|containers|devops|docker|git|interview|interview-questions|kubernetes|linux|openstack|production-engineer|prometheus|python|sql|sre|terraform,82751,19531,82751,47,2019-10-03T17:31:21Z,2026-06-13T20:56:47Z,2025-12-27T14:22:30Z,0,0,NOASSERTION,https://github.com/bregman-arie/devops-exercises,1,1,0,0,0,0,0,0.016785092807424594,2.8111988513998565,0.23601846481051816,0.0005679621036349575
221981891,microsoft/playwright,1500,750.0,1499,0.0,0.0,0,TypeScript,automation|chrome|chromium|e2e-testing|electron|end-to-end-testing|firefox|javascript|playwright|test|test-automation|testing|testing-tools|web|webkit,90886,6033,90886,178,2019-11-15T18:32:42Z,2026-06-13T20:04:43Z,2026-06-12T21:47:30Z,0,0,Apache-2.0,https://github.com/microsoft/playwright,1,0,0,0,0,1,0,0.016504010474545316,1.996005326231691,0.06637913012862126,0.001958475909646044
229764465,Asabeneh/30-Days-Of-JavaScript,1041,260.25,692,459.0,41.72727272727273,0,JavaScript,30daysofjavascript|angular|challenge|css|d3|d3js|html|javascript|javascript-for-everyone|js|json|node|nodejs|programming|react|redux|typescript|vue|webdevelopment|website,46454,10436,46454,367,2019-12-23T14:07:40Z,2026-06-13T17:47:47Z,2025-12-06T11:12:48Z,0,0,No License,https://github.com/Asabeneh/30-Days-Of-JavaScript,1,0,1,0,0,1,0,0.02240878269292864,2.648803827751196,0.22464750834140565,0.00790011839414487
255378816,bigskysoftware/htmx,1118,279.5,953,382.0,127.33333333333331,0,JavaScript,hateoas|html|htmx|hyperscript|javascript|rest,48197,1601,48197,663,2020-04-13T16:17:51Z,2026-06-13T15:09:29Z,2026-06-13T11:28:53Z,0,0,NOASSERTION,https://github.com/bigskysoftware/htmx,1,0,1,0,0,1,0,0.023195983235818913,3.3975044563279857,0.03321714593966554,0.013755757500311216
265612440,coqui-ai/TTS,303,75.75,260,1197.0,92.07692307692308,1,Python,deep-learning|glow-tts|hifigan|melgan|multi-speaker-tts|python|pytorch|speaker-encoder|speaker-encodings|speech|speech-synthesis|tacotron|text-to-speech|tts|tts-model|vocoder|voice-cloning|voice-conversion|voice-synthesis,45555,6115,45555,9,2020-05-20T15:45:28Z,2026-06-13T14:23:18Z,2024-08-16T12:07:14Z,0,0,MPL-2.0,https://github.com/coqui-ai/TTS,1,0,0,1,0,0,0,0.006651154622881728,3.3876221498371337,0.13423039775221704,0.00019755904820440776
266417772,SimplifyJobs/Summer2026-Internships,176,44.0,76,1324.0,88.26666666666667,1,Python,data-science|fall-2026|github|internship|internships|interview-preparation|jobs|software-engineering|university,44903,3181,44903,5,2020-05-23T20:53:18Z,2026-06-13T20:30:32Z,2026-06-13T20:30:28Z,0,0,No License,https://github.com/SimplifyJobs/Summer2026-Internships,1,0,0,0,1,0,0,0.0039194726527703545,1.6888888888888889,0.07084001425262783,0.0001113486549082487
274495425,remotion-dev/remotion,1500,1500.0,1500,0.0,0.0,0,TypeScript,javascript|react|video,50012,3575,50012,134,2020-06-23T19:49:10Z,2026-06-13T20:59:41Z,2026-06-13T20:38:20Z,0,0,NOASSERTION,https://github.com/remotion-dev/remotion,1,0,0,0,0,1,0,0.029992202027472856,0.9993337774816788,0.07148141483214364,0.0026793033811209088
287463830,microsoft/qlib,546,136.5,211,954.0,119.25,1,Python,algorithmic-trading|auto-quant|deep-learning|finance|fintech|investment|machine-learning|paper|platform|python|quant|quant-dataset|quant-models|quantitative-finance|quantitative-trading|research|research-paper|stock-data,44357,7008,44357,424,2020-08-14T06:46:00Z,2026-06-13T20:38:07Z,2026-04-22T07:08:01Z,0,0,MIT,https://github.com/microsoft/qlib,1,0,1,1,0,0,0,0.01230894089003111,1.5345454545454544,0.15798728526984987,0.00955859146039046
307260205,yt-dlp/yt-dlp,42,10.5,15,1458.0,47.03225806451613,1,Python,cli|downloader|python|sponsorblock|youtube-dl|youtube-downloader|yt-dlp,170363,14358,170363,2535,2020-10-26T04:22:55Z,2026-06-13T20:54:13Z,2026-06-12T22:55:22Z,0,0,Unlicense,https://github.com/yt-dlp/yt-dlp,1,0,0,0,0,0,0,0.0002465309572444883,1.3043478260869565,0.0842783686694372,0.014879904205113757
